fung,AI,isolate,code,DPI,rate_ppm,rep,length_mm,width_mm,average_diameter
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,100,2,84,84,84
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,100,3,84,84,84
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,500,1,84,84,84
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,500,2,84,84,84
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,500,3,84,84,84
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,500,1,84,84,84
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,500,2,84,84,84
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,500,3,84,84,84
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,1000,1,84,84,84
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,1000,2,84,84,84
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,1000,3,84,84,84
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,1000,1,84,84,84
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,1000,2,84,84,84
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,1000,3,84,84,84
